"icao","tipo_reporte","semana","especies_list","contagem"
"SBAT","colisão",17,"",0
"SBAT","colisão",18,"",0
"SBAT","colisão",19,"",0
"SBAT","colisão",20,"",0
"SBAT","colisão",21,"",0
"SBAT","colisão",22,"",0
"SBAT","colisão",23,"",0
"SBAT","colisão",24,"",0
"SBAT","colisão",25,"",0
"SBAT","colisão",26,"",0
"SBAT","colisão",27,"Corucão/tabaco-bom (Chordeiles nacunda)",1
"SBAT","colisão",28,"",0
"SBAT","colisão",29,"",0
"SBAT","colisão",30,"",0
"SBAT","colisão",31,"",0
"SBAT","colisão",32,"",0
"SBAT","colisão",33,"",0
"SBAT","colisão",34,"",0
"SBAT","colisão",35,"",0
"SBAT","colisão",36,"",0
"SBAT","colisão",37,"",0
"SBAT","colisão",38,"",0
"SBAT","colisão",39,"",0
"SBAT","colisão",40,"Corucão/tabaco-bom (Chordeiles nacunda)",1
"SBAT","colisão",41,"",0
"SBAT","colisão",42,"",0
"SBAT","colisão",43,"",0
"SBAT","colisão",44,"",0
"SBAT","colisão",45,"",0
"SBAT","colisão",46,"",0
"SBAT","colisão",47,"",0
"SBAT","colisão",48,"",0
"SBAT","colisão",49,"",0
"SBAT","colisão",50,"",0
"SBAT","colisão",51,"",0
"SBAT","colisão",52,"",0
"SBAT","colisão",53,"",0
"SBAU","colisão",1,"",0
"SBAU","colisão",2,"",0
"SBAU","colisão",3,"",0
"SBAU","colisão",4,"",0
"SBAU","colisão",5,"",0
"SBAU","colisão",6,"",0
"SBAU","colisão",7,"0 Não identificada",1
"SBAU","colisão",8,"0 Não identificada",1
"SBAU","colisão",9,"Coruja -buraqueira (Athene cunicularia)",1
"SBAU","colisão",10,"",0
"SBAU","colisão",11,"",0
"SBAU","colisão",12,"",0
"SBAU","colisão",13,"",0
"SBAU","colisão",14,"",0
"SBAU","colisão",15,"",0
"SBAU","colisão",16,"",0
"SBAU","colisão",17,"",0
"SBAU","colisão",18,"",0
"SBAU","colisão",19,"",0
"SBAU","colisão",20,"",0
"SBAU","colisão",21,"",0
"SBAU","colisão",22,"",0
"SBAU","colisão",23,"Urubu-de-cabeça-preta/corvo/apitã (Coragyps atratus)",1
"SBAU","colisão",24,"",0
"SBAU","colisão",25,"",0
"SBAU","colisão",26,"",0
"SBAU","colisão",27,"",0
"SBAU","colisão",28,"",0
"SBAU","colisão",29,"",0
"SBAU","colisão",30,"",0
"SBAU","colisão",31,"",0
"SBAU","colisão",32,"",0
"SBAU","colisão",33,"",0
"SBAU","colisão",34,"",0
"SBAU","colisão",35,"",0
"SBAU","colisão",36,"",0
"SBAU","colisão",37,"",0
"SBAU","colisão",38,"",0
"SBAU","colisão",39,"",0
"SBAU","colisão",40,"",0
"SBAU","colisão",41,"",0
"SBAU","colisão",42,"",0
"SBAU","colisão",43,"",0
"SBAU","colisão",44,"",0
"SBAU","colisão",45,"",0
"SBAU","colisão",46,"",0
"SBAU","colisão",47,"",0
"SBAU","colisão",48,"",0
"SBAU","colisão",49,"",0
"SBAU","colisão",50,"",0
"SBAU","colisão",51,"",0
"SBAU","colisão",52,"",0
"SBAU","colisão",53,"",0
"SBBE","avistamento",1,"Garça-branca-grande (Ardea alba),Quero-quero/tetéu (Vanellus chilensis)",2
"SBBE","avistamento",2,"Urubu-de-cabeça-preta/corvo/apitã (Coragyps atratus),0 Não identificada,0 Não identificada,0 Não identificada,Quero-quero/tetéu (Vanellus chilensis),Batuíra-de-coleira (Charadrius collaris)",6
"SBBE","avistamento",3,"Garças / Família Ardeidae",1
"SBBE","avistamento",4,"Urubu-de-cabeça-preta/corvo/apitã (Coragyps atratus)",1
"SBBE","avistamento",5,"Quero-quero/tetéu (Vanellus chilensis)",1
"SBBE","avistamento",6,"Quero-quero/tetéu (Vanellus chilensis)",1
"SBBE","avistamento",7,"Urubu-de-cabeça-preta/corvo/apitã (Coragyps atratus),0 Não identificada,0 Não identificada,Quero-quero/tetéu (Vanellus chilensis)",4
"SBBE","avistamento",8,"0 Não identificada,Urubus / Família Cathartidae",2
"SBBE","avistamento",9,"",0
