"","Aeroporto","week","sum_ObxAb","sum_ObxAbxMassxFlock","sum_ObxAbxS","Voos_como_Destino","Voos_como_Origem","Total_Voos","prod_ObxAb","prod_ObxAbxMassxFlock","prod_ObxAbxS","norm_sum_ObxAb","norm_sum_ObxAbxMassxFlock","norm_sum_ObxAbxS","norm_Total_Voos","rel_product_ObxAb","rel_product_ObxAbxMassxFlock","rel_product_ObxAbxS","real_mul_ObxAb","real_mul_ObxAbxMassxFlock","real_mul_ObxAbxS","real_product_ObxAb","real_product_ObxAbxMassxFlock","real_product_ObxAbxS","rel_product_ObxAb_norm","rel_product_ObxAbxMassxFlock_norm","rel_product_ObxAbxS_norm"
"598","SBCG",27,8.10786054838598,12136.1573128482,312.7284313587,33,33,66,535.118796193475,800986.382647981,20640.0764696742,0.968059903345511,0.877438881056236,0.845281782679032,0.203619909502262,0.197116269911982,0.178664025554437,0.172116200093016,535.118796193475,800986.382647981,20640.0764696742,0.335006035063138,0.321221545958326,0.315873940210215,0.369197845342944,0.400814883015851,0.385160497855098
"599","SBCG",28,8.24067836315325,12891.3924307487,336.973898380078,34,33,67,552.125450331268,863723.292860166,22577.2511914652,1,1,0.993125940321895,0.208144796380091,0.208144796380091,0.208144796380091,0.206713996628087,552.125450331268,863723.292860166,22577.2511914652,0.349071478276063,0.355301596311365,0.356060253617463,0.389854223485405,0.466952045620536,0.462583218847868
"600","SBCG",29,7.78628270733832,12888.998426188,338.101198842171,36,36,72,560.612354928359,928007.886685533,24343.2863166363,0.890726698135037,0.99961149598215,1,0.230769230769231,0.205552314954239,0.230679575995881,0.230769230769231,560.612354928359,928007.886685533,24343.2863166363,0.356090617590399,0.39022238197141,0.392696309327873,0.38499851798254,0.517506571230611,0.516413863219618
"601","SBCG",30,7.29072902700579,12365.8608704042,324.247679467045,38,37,75,546.804677025434,927439.565280312,24318.5759600284,0.77155569328871,0.914715650067829,0.91552392450933,0.244343891402715,0.188524920532083,0.223505181464537,0.223702678386895,546.804677025434,927439.565280312,24318.5759600284,0.344670904584396,0.389913657457545,0.392183697778755,0.353106288410259,0.501411534214254,0.500600378886192
"602","SBCG",31,6.70861777877316,11487.0940813214,301.511675419986,40,40,80,536.689422301853,918967.52650571,24120.9340335989,0.631569279833598,0.772107555703779,0.776884179457676,0.266968325791855,0.168608993258743,0.206128261477479,0.207403468723995,536.689422301853,918967.52650571,24120.9340335989,0.336305029689426,0.385311462241765,0.388083654396729,0.315803850409545,0.462428151128742,0.464126114958598
"603","SBCG",32,6.19686988879777,10925.24033208,286.338158801535,47,47,94,582.50576954699,1026972.59121552,26915.7869273443,0.508503883093064,0.680928765738081,0.684359016673354,0.330316742081448,0.167967345999067,0.224922171488144,0.226055240801606,582.50576954699,1026972.59121552,26915.7869273443,0.374197681893604,0.443982155956909,0.446062334921409,0.314602048113627,0.504590409697353,0.505864927548058
"604","SBCG",33,5.80507730854939,9927.40296732594,259.789916733074,52,50,102,592.117885472038,1012595.10266725,26498.5715067735,0.414285401155439,0.518997651771715,0.522472983211938,0.366515837104072,0.151842160604482,0.190220858794158,0.191494622806185,592.117885472038,1012595.10266725,26498.5715067735,0.382147433185327,0.436171992338423,0.437407282044251,0.284399651801571,0.426741483228948,0.428525404446211
"605","SBCG",34,5.84690666466305,9807.10454790223,256.898459858215,57,57,114,666.547359771588,1118009.91846085,29286.4244238365,0.424344546305557,0.499475375142522,0.504841439730129,0.420814479638009,0.1785703294408,0.2101864700826,0.212444587759738,666.547359771588,1118009.91846085,29286.4244238365,0.443704723387503,0.493435606661348,0.495240749412039,0.33446138617153,0.471532336497159,0.475407097902122
"606","SBCG",35,5.92227829639234,9664.00163098063,254.718076377733,56,56,112,663.295169195942,1082368.18266983,28528.4245543061,0.442469955209914,0.476252337433703,0.491545883957741,0.411764705882353,0.182193510968788,0.196103903649172,0.20240124633554,663.295169195942,1082368.18266983,28528.4245543061,0.441014981978716,0.474074242731891,0.479516189321021,0.341247588112227,0.439939506322975,0.452932174675942
"607","SBCG",36,6.09381447198993,9928.47246638922,261.740451089401,63,64,127,773.91443794272,1260916.00323143,33241.0372883539,0.483721063262917,0.519171212294523,0.534366963584034,0.479638009049774,0.232011007718865,0.249014246620902,0.256302706515419,773.91443794272,1260916.00323143,33241.0372883539,0.532503233001324,0.571065291455597,0.577278425306808,0.434555524939158,0.558638572140683,0.57355250690951
